Parameter summary for LMC Metallicity LMC WNL-H20 grid
=======================================================
The stellar masses for WR models are calculated from luminosities


   MODEL       T_EFF         R_TRANS     MASS     LOG G    LOG L   LOG MDOT    V_INF
   NAME         [K]          [R_SUN]   [M_SUN]    [CGS]   [L_SUN] [M_SUN/YR]  [KM/S]

   01-06      25119.00       31.6228     12.0     2.770     5.30     -5.09      1000
   01-07      25119.00       25.1189     12.0     2.770     5.30     -4.94      1000
   01-08      25119.00       19.9526     12.0     2.770     5.30     -4.79      1000
   01-09      25119.00       15.8489     12.0     2.770     5.30     -4.64      1000
   02-04      28184.00       50.1187     12.0     2.970     5.30     -5.54      1000
   02-05      28184.00       39.8107     12.0     2.970     5.30     -5.39      1000
   02-06      28184.00       31.6228     12.0     2.970     5.30     -5.24      1000
   02-07      28184.00       25.1189     12.0     2.970     5.30     -5.09      1000
   02-08      28184.00       19.9526     12.0     2.970     5.30     -4.94      1000
   02-09      28184.00       15.8489     12.0     2.970     5.30     -4.79      1000
   02-10      28184.00       12.5893     12.0     2.970     5.30     -4.64      1000
   02-11      28184.00       10.0000     12.0     2.970     5.30     -4.49      1000
   02-12      28184.00        7.9433     12.0     2.970     5.30     -4.34      1000
   03-04      31623.00       50.1187     12.0     3.170     5.30     -5.69      1000
   03-05      31623.00       39.8107     12.0     3.170     5.30     -5.54      1000
   03-06      31623.00       31.6228     12.0     3.170     5.30     -5.39      1000
   03-07      31623.00       25.1189     12.0     3.170     5.30     -5.24      1000
   03-08      31623.00       19.9526     12.0     3.170     5.30     -5.09      1000
   03-09      31623.00       15.8489     12.0     3.170     5.30     -4.94      1000
   03-10      31623.00       12.5893     12.0     3.170     5.30     -4.79      1000
   03-11      31623.00       10.0000     12.0     3.170     5.30     -4.64      1000
   03-12      31623.00        7.9433     12.0     3.170     5.30     -4.49      1000
   04-04      35481.00       50.1187     12.0     3.370     5.30     -5.84      1000
   04-05      35481.00       39.8107     12.0     3.370     5.30     -5.69      1000
   04-06      35481.00       31.6228     12.0     3.370     5.30     -5.54      1000
   04-07      35481.00       25.1189     12.0     3.370     5.30     -5.39      1000
   04-08      35481.00       19.9526     12.0     3.370     5.30     -5.24      1000
   04-09      35481.00       15.8489     12.0     3.370     5.30     -5.09      1000
   04-10      35481.00       12.5893     12.0     3.370     5.30     -4.94      1000
   04-11      35481.00       10.0000     12.0     3.370     5.30     -4.79      1000
   04-12      35481.00        7.9433     12.0     3.370     5.30     -4.64      1000
   04-13      35481.00        6.3096     12.0     3.370     5.30     -4.49      1000
   04-14      35481.00        5.0119     12.0     3.370     5.30     -4.34      1000
   04-15      35481.00        3.9811     12.0     3.370     5.30     -4.19      1000
   05-02      39811.00       79.4328     12.0     3.570     5.30     -6.29      1000
   05-03      39811.00       63.0957     12.0     3.570     5.30     -6.14      1000
   05-04      39811.00       50.1187     12.0     3.570     5.30     -5.99      1000
   05-05      39811.00       39.8107     12.0     3.570     5.30     -5.84      1000
   05-06      39811.00       31.6228     12.0     3.570     5.30     -5.69      1000
   05-07      39811.00       25.1189     12.0     3.570     5.30     -5.54      1000
   05-08      39811.00       19.9526     12.0     3.570     5.30     -5.39      1000
   05-09      39811.00       15.8489     12.0     3.570     5.30     -5.24      1000
   05-10      39811.00       12.5893     12.0     3.570     5.30     -5.09      1000
   05-11      39811.00       10.0000     12.0     3.570     5.30     -4.94      1000
   05-12      39811.00        7.9433     12.0     3.570     5.30     -4.79      1000
   05-13      39811.00        6.3096     12.0     3.570     5.30     -4.64      1000
   05-14      39811.00        5.0119     12.0     3.570     5.30     -4.49      1000
   05-15      39811.00        3.9811     12.0     3.570     5.30     -4.34      1000
   05-16      39811.00        3.1623     12.0     3.570     5.30     -4.19      1000
   06-02      44668.00       79.4328     12.0     3.770     5.30     -6.44      1000
   06-03      44668.00       63.0957     12.0     3.770     5.30     -6.29      1000
   06-04      44668.00       50.1187     12.0     3.770     5.30     -6.14      1000
   06-05      44668.00       39.8107     12.0     3.770     5.30     -5.99      1000
   06-06      44668.00       31.6228     12.0     3.770     5.30     -5.84      1000
   06-07      44668.00       25.1189     12.0     3.770     5.30     -5.69      1000
   06-08      44668.00       19.9526     12.0     3.770     5.30     -5.54      1000
   06-09      44668.00       15.8489     12.0     3.770     5.30     -5.39      1000
   06-10      44668.00       12.5893     12.0     3.770     5.30     -5.24      1000
   06-11      44668.00       10.0000     12.0     3.770     5.30     -5.09      1000
   06-12      44668.00        7.9433     12.0     3.770     5.30     -4.94      1000
   06-13      44668.00        6.3096     12.0     3.770     5.30     -4.79      1000
   06-14      44668.00        5.0119     12.0     3.770     5.30     -4.64      1000
   06-15      44668.00        3.9811     12.0     3.770     5.30     -4.49      1000
   06-16      44668.00        3.1623     12.0     3.770     5.30     -4.34      1000
   06-17      44668.00        2.5119     12.0     3.770     5.30     -4.19      1000
   07-03      50119.00       63.0957     12.0     3.970     5.30     -6.44      1000
   07-04      50119.00       50.1187     12.0     3.970     5.30     -6.29      1000
   07-05      50119.00       39.8107     12.0     3.970     5.30     -6.14      1000
   07-06      50119.00       31.6228     12.0     3.970     5.30     -5.99      1000
   07-07      50119.00       25.1189     12.0     3.970     5.30     -5.84      1000
   07-08      50119.00       19.9526     12.0     3.970     5.30     -5.69      1000
   07-09      50119.00       15.8489     12.0     3.970     5.30     -5.54      1000
   07-10      50119.00       12.5893     12.0     3.970     5.30     -5.39      1000
   07-11      50119.00       10.0000     12.0     3.970     5.30     -5.24      1000
   07-12      50119.00        7.9433     12.0     3.970     5.30     -5.09      1000
   07-13      50119.00        6.3096     12.0     3.970     5.30     -4.94      1000
   07-14      50119.00        5.0119     12.0     3.970     5.30     -4.79      1000
   07-15      50119.00        3.9811     12.0     3.970     5.30     -4.64      1000
   07-16      50119.00        3.1623     12.0     3.970     5.30     -4.49      1000
   07-17      50119.00        2.5119     12.0     3.970     5.30     -4.34      1000
   07-18      50119.00        1.9953     12.0     3.970     5.30     -4.19      1000
   08-03      56234.00       63.0957     12.0     4.170     5.30     -6.59      1000
   08-04      56234.00       50.1187     12.0     4.170     5.30     -6.44      1000
   08-05      56234.00       39.8107     12.0     4.170     5.30     -6.29      1000
   08-06      56234.00       31.6228     12.0     4.170     5.30     -6.14      1000
