Parameter summary for Galactic Metallicity MW WNE grid
=======================================================
The stellar masses for WR models are calculated from luminosities


   MODEL       T_EFF         R_TRANS     MASS     LOG G    LOG L   LOG MDOT    V_INF
   NAME         [K]          [R_SUN]   [M_SUN]    [CGS]   [L_SUN] [M_SUN/YR]  [KM/S]

   03-06      31623.00       31.6228     12.0     3.170     5.30     -4.98      1600
   03-07      31623.00       25.1189     12.0     3.170     5.30     -4.83      1600
   03-08      31623.00       19.9526     12.0     3.170     5.30     -4.68      1600
   03-09      31623.00       15.8489     12.0     3.170     5.30     -4.53      1600
   03-10      31623.00       12.5893     12.0     3.170     5.30     -4.38      1600
   04-04      35481.00       50.1187     12.0     3.370     5.30     -5.43      1600
   04-05      35481.00       39.8107     12.0     3.370     5.30     -5.28      1600
   04-06      35481.00       31.6228     12.0     3.370     5.30     -5.13      1600
   04-07      35481.00       25.1189     12.0     3.370     5.30     -4.98      1600
   04-08      35481.00       19.9526     12.0     3.370     5.30     -4.83      1600
   04-09      35481.00       15.8489     12.0     3.370     5.30     -4.68      1600
   04-10      35481.00       12.5893     12.0     3.370     5.30     -4.53      1600
   04-11      35481.00       10.0000     12.0     3.370     5.30     -4.38      1600
   04-12      35481.00        7.9433     12.0     3.370     5.30     -4.23      1600
   04-13      35481.00        6.3096     12.0     3.370     5.30     -4.08      1600
   04-14      35481.00        5.0119     12.0     3.370     5.30     -3.93      1600
   04-15      35481.00        3.9811     12.0     3.370     5.30     -3.78      1600
   05-04      39811.00       50.1187     12.0     3.570     5.30     -5.58      1600
   05-05      39811.00       39.8107     12.0     3.570     5.30     -5.43      1600
   05-06      39811.00       31.6228     12.0     3.570     5.30     -5.28      1600
   05-07      39811.00       25.1189     12.0     3.570     5.30     -5.13      1600
   05-08      39811.00       19.9526     12.0     3.570     5.30     -4.98      1600
   05-09      39811.00       15.8489     12.0     3.570     5.30     -4.83      1600
   05-10      39811.00       12.5893     12.0     3.570     5.30     -4.68      1600
   05-11      39811.00       10.0000     12.0     3.570     5.30     -4.53      1600
   05-12      39811.00        7.9433     12.0     3.570     5.30     -4.38      1600
   05-13      39811.00        6.3096     12.0     3.570     5.30     -4.23      1600
   05-14      39811.00        5.0119     12.0     3.570     5.30     -4.08      1600
   05-15      39811.00        3.9811     12.0     3.570     5.30     -3.93      1600
   05-16      39811.00        3.1623     12.0     3.570     5.30     -3.78      1600
   06-04      44668.00       50.1187     12.0     3.770     5.30     -5.73      1600
   06-05      44668.00       39.8107     12.0     3.770     5.30     -5.58      1600
   06-06      44668.00       31.6228     12.0     3.770     5.30     -5.43      1600
   06-07      44668.00       25.1189     12.0     3.770     5.30     -5.28      1600
   06-08      44668.00       19.9526     12.0     3.770     5.30     -5.13      1600
   06-09      44668.00       15.8489     12.0     3.770     5.30     -4.98      1600
   06-10      44668.00       12.5893     12.0     3.770     5.30     -4.83      1600
   06-11      44668.00       10.0000     12.0     3.770     5.30     -4.68      1600
   06-12      44668.00        7.9433     12.0     3.770     5.30     -4.53      1600
   06-13      44668.00        6.3096     12.0     3.770     5.30     -4.38      1600
   06-14      44668.00        5.0119     12.0     3.770     5.30     -4.23      1600
   06-15      44668.00        3.9811     12.0     3.770     5.30     -4.08      1600
   06-16      44668.00        3.1623     12.0     3.770     5.30     -3.93      1600
   06-17      44668.00        2.5119     12.0     3.770     5.30     -3.78      1600
   07-04      50119.00       50.1187     12.0     3.970     5.30     -5.88      1600
   07-05      50119.00       39.8107     12.0     3.970     5.30     -5.73      1600
   07-06      50119.00       31.6228     12.0     3.970     5.30     -5.58      1600
   07-07      50119.00       25.1189     12.0     3.970     5.30     -5.43      1600
   07-08      50119.00       19.9526     12.0     3.970     5.30     -5.28      1600
   07-09      50119.00       15.8489     12.0     3.970     5.30     -5.13      1600
   07-10      50119.00       12.5893     12.0     3.970     5.30     -4.98      1600
   07-11      50119.00       10.0000     12.0     3.970     5.30     -4.83      1600
   07-12      50119.00        7.9433     12.0     3.970     5.30     -4.68      1600
   07-13      50119.00        6.3096     12.0     3.970     5.30     -4.53      1600
   07-14      50119.00        5.0119     12.0     3.970     5.30     -4.38      1600
   07-15      50119.00        3.9811     12.0     3.970     5.30     -4.23      1600
   07-16      50119.00        3.1623     12.0     3.970     5.30     -4.08      1600
   07-17      50119.00        2.5119     12.0     3.970     5.30     -3.93      1600
   07-18      50119.00        1.9953     12.0     3.970     5.30     -3.78      1600
   08-04      56234.00       50.1187     12.0     4.170     5.30     -6.03      1600
   08-05      56234.00       39.8107     12.0     4.170     5.30     -5.88      1600
   08-06      56234.00       31.6228     12.0     4.170     5.30     -5.73      1600
   08-07      56234.00       25.1189     12.0     4.170     5.30     -5.58      1600
   08-08      56234.00       19.9526     12.0     4.170     5.30     -5.43      1600
   08-09      56234.00       15.8489     12.0     4.170     5.30     -5.28      1600
   08-10      56234.00       12.5893     12.0     4.170     5.30     -5.13      1600
   08-11      56234.00       10.0000     12.0     4.170     5.30     -4.98      1600
   08-12      56234.00        7.9433     12.0     4.170     5.30     -4.83      1600
   08-13      56234.00        6.3096     12.0     4.170     5.30     -4.68      1600
   08-14      56234.00        5.0119     12.0     4.170     5.30     -4.53      1600
   08-15      56234.00        3.9811     12.0     4.170     5.30     -4.38      1600
   08-16      56234.00        3.1623     12.0     4.170     5.30     -4.23      1600
   08-17      56234.00        2.5119     12.0     4.170     5.30     -4.08      1600
   08-18      56234.00        1.9953     12.0     4.170     5.30     -3.93      1600
   08-19      56234.00        1.5849     12.0     4.170     5.30     -3.78      1600
   09-04      63096.00       50.1187     12.0     4.370     5.30     -6.18      1600
   09-05      63096.00       39.8107     12.0     4.370     5.30     -6.03      1600
   09-06      63096.00       31.6228     12.0     4.370     5.30     -5.88      1600
   09-07      63096.00       25.1189     12.0     4.370     5.30     -5.73      1600
   09-08      63096.00       19.9526     12.0     4.370     5.30     -5.58      1600
   09-09      63096.00       15.8489     12.0     4.370     5.30     -5.43      1600
   09-10      63096.00       12.5893     12.0     4.370     5.30     -5.28      1600
   09-11      63096.00       10.0000     12.0     4.370     5.30     -5.13      1600
   09-12      63096.00        7.9433     12.0     4.370     5.30     -4.98      1600
   09-13      63096.00        6.3096     12.0     4.370     5.30     -4.83      1600
