Parameter summary for Galactic Metallicity MW WNL-H50 grid
===========================================================
The stellar masses for WR models are calculated from luminosities


   MODEL       T_EFF         R_TRANS     MASS     LOG G    LOG L   LOG MDOT    V_INF
   NAME         [K]          [R_SUN]   [M_SUN]    [CGS]   [L_SUN] [M_SUN/YR]  [KM/S]

   01-04      25119.00       50.1187     29.9     3.166     5.30     -5.19      1000
   01-05      25119.00       39.8107     29.9     3.166     5.30     -5.04      1000
   01-06      25119.00       31.6228     29.9     3.166     5.30     -4.89      1000
   01-07      25119.00       25.1189     29.9     3.166     5.30     -4.74      1000
   02-04      28184.00       50.1187     29.9     3.366     5.30     -5.34      1000
   02-05      28184.00       39.8107     29.9     3.366     5.30     -5.19      1000
   02-06      28184.00       31.6228     29.9     3.366     5.30     -5.04      1000
   02-07      28184.00       25.1189     29.9     3.366     5.30     -4.89      1000
   02-08      28184.00       19.9526     29.9     3.366     5.30     -4.74      1000
   02-09      28184.00       15.8489     29.9     3.366     5.30     -4.59      1000
   03-04      31623.00       50.1187     29.9     3.566     5.30     -5.49      1000
   03-05      31623.00       39.8107     29.9     3.566     5.30     -5.34      1000
   03-06      31623.00       31.6228     29.9     3.566     5.30     -5.19      1000
   03-07      31623.00       25.1189     29.9     3.566     5.30     -5.04      1000
   03-08      31623.00       19.9526     29.9     3.566     5.30     -4.89      1000
   03-09      31623.00       15.8489     29.9     3.566     5.30     -4.74      1000
   03-10      31623.00       12.5893     29.9     3.566     5.30     -4.59      1000
   04-04      35481.00       50.1187     29.9     3.766     5.30     -5.64      1000
   04-05      35481.00       39.8107     29.9     3.766     5.30     -5.49      1000
   04-06      35481.00       31.6228     29.9     3.766     5.30     -5.34      1000
   04-07      35481.00       25.1189     29.9     3.766     5.30     -5.19      1000
   04-08      35481.00       19.9526     29.9     3.766     5.30     -5.04      1000
   04-09      35481.00       15.8489     29.9     3.766     5.30     -4.89      1000
   04-10      35481.00       12.5893     29.9     3.766     5.30     -4.74      1000
   04-11      35481.00       10.0000     29.9     3.766     5.30     -4.59      1000
   04-12      35481.00        7.9433     29.9     3.766     5.30     -4.44      1000
   04-13      35481.00        6.3096     29.9     3.766     5.30     -4.29      1000
   04-14      35481.00        5.0119     29.9     3.766     5.30     -4.14      1000
   04-15      35481.00        3.9811     29.9     3.766     5.30     -3.99      1000
   05-04      39811.00       50.1187     29.9     3.966     5.30     -5.79      1000
   05-05      39811.00       39.8107     29.9     3.966     5.30     -5.64      1000
   05-06      39811.00       31.6228     29.9     3.966     5.30     -5.49      1000
   05-07      39811.00       25.1189     29.9     3.966     5.30     -5.34      1000
   05-08      39811.00       19.9526     29.9     3.966     5.30     -5.19      1000
   05-09      39811.00       15.8489     29.9     3.966     5.30     -5.04      1000
   05-10      39811.00       12.5893     29.9     3.966     5.30     -4.89      1000
   05-11      39811.00       10.0000     29.9     3.966     5.30     -4.74      1000
   05-12      39811.00        7.9433     29.9     3.966     5.30     -4.59      1000
   05-13      39811.00        6.3096     29.9     3.966     5.30     -4.44      1000
   05-14      39811.00        5.0119     29.9     3.966     5.30     -4.29      1000
   05-15      39811.00        3.9811     29.9     3.966     5.30     -4.14      1000
   05-16      39811.00        3.1623     29.9     3.966     5.30     -3.99      1000
   06-04      44668.00       50.1187     29.9     4.166     5.30     -5.94      1000
   06-05      44668.00       39.8107     29.9     4.166     5.30     -5.79      1000
   06-06      44668.00       31.6228     29.9     4.166     5.30     -5.64      1000
   06-07      44668.00       25.1189     29.9     4.166     5.30     -5.49      1000
   06-08      44668.00       19.9526     29.9     4.166     5.30     -5.34      1000
   06-09      44668.00       15.8489     29.9     4.166     5.30     -5.19      1000
   06-10      44668.00       12.5893     29.9     4.166     5.30     -5.04      1000
   06-11      44668.00       10.0000     29.9     4.166     5.30     -4.89      1000
   06-12      44668.00        7.9433     29.9     4.166     5.30     -4.74      1000
   06-13      44668.00        6.3096     29.9     4.166     5.30     -4.59      1000
   06-14      44668.00        5.0119     29.9     4.166     5.30     -4.44      1000
   06-15      44668.00        3.9811     29.9     4.166     5.30     -4.29      1000
   06-16      44668.00        3.1623     29.9     4.166     5.30     -4.14      1000
   06-17      44668.00        2.5119     29.9     4.166     5.30     -3.99      1000
   07-04      50119.00       50.1187     29.9     4.366     5.30     -6.09      1000
   07-05      50119.00       39.8107     29.9     4.366     5.30     -5.94      1000
   07-06      50119.00       31.6228     29.9     4.366     5.30     -5.79      1000
   07-07      50119.00       25.1189     29.9     4.366     5.30     -5.64      1000
   07-08      50119.00       19.9526     29.9     4.366     5.30     -5.49      1000
   07-09      50119.00       15.8489     29.9     4.366     5.30     -5.34      1000
   07-10      50119.00       12.5893     29.9     4.366     5.30     -5.19      1000
   07-11      50119.00       10.0000     29.9     4.366     5.30     -5.04      1000
   07-12      50119.00        7.9433     29.9     4.366     5.30     -4.89      1000
   07-13      50119.00        6.3096     29.9     4.366     5.30     -4.74      1000
   07-14      50119.00        5.0119     29.9     4.366     5.30     -4.59      1000
   07-15      50119.00        3.9811     29.9     4.366     5.30     -4.44      1000
   07-16      50119.00        3.1623     29.9     4.366     5.30     -4.29      1000
   07-17      50119.00        2.5119     29.9     4.366     5.30     -4.14      1000
   07-18      50119.00        1.9953     29.9     4.366     5.30     -3.99      1000
   08-04      56234.00       50.1187     29.9     4.566     5.30     -6.24      1000
   08-05      56234.00       39.8107     29.9     4.566     5.30     -6.09      1000
   08-06      56234.00       31.6228     29.9     4.566     5.30     -5.94      1000
   08-07      56234.00       25.1189     29.9     4.566     5.30     -5.79      1000
   08-08      56234.00       19.9526     29.9     4.566     5.30     -5.64      1000
   08-09      56234.00       15.8489     29.9     4.566     5.30     -5.49      1000
   08-10      56234.00       12.5893     29.9     4.566     5.30     -5.34      1000
   08-11      56234.00       10.0000     29.9     4.566     5.30     -5.19      1000
   08-12      56234.00        7.9433     29.9     4.566     5.30     -5.04      1000
   08-13      56234.00        6.3096     29.9     4.566     5.30     -4.89      1000
   08-14      56234.00        5.0119     29.9     4.566     5.30     -4.74      1000
   08-15      56234.00        3.9811     29.9     4.566     5.30     -4.59      1000
   08-16      56234.00        3.1623     29.9     4.566     5.30     -4.44      1000
   08-17      56234.00        2.5119     29.9     4.566     5.30     -4.29      1000
