Parameter summary for sub-SMC Metallicity (0.07 solar) Z0.07 WC grid
=====================================================================
The stellar masses for WR models are calculated from luminosities


   MODEL       T_EFF         R_TRANS     MASS     LOG G    LOG L   LOG MDOT    V_INF
   NAME         [K]          [R_SUN]   [M_SUN]    [CGS]   [L_SUN] [M_SUN/YR]  [KM/S]

   06-06      44668.00       31.6228     11.6     3.756     5.30     -5.54      2000
   06-07      44668.00       25.1189     11.6     3.756     5.30     -5.39      2000
   06-08      44668.00       19.9526     11.6     3.756     5.30     -5.24      2000
   06-09      44668.00       15.8489     11.6     3.756     5.30     -5.09      2000
   06-10      44668.00       12.5893     11.6     3.756     5.30     -4.94      2000
   06-11      44668.00       10.0000     11.6     3.756     5.30     -4.79      2000
   07-05      50119.00       39.8107     11.6     3.956     5.30     -5.84      2000
   07-06      50119.00       31.6228     11.6     3.956     5.30     -5.69      2000
   07-07      50119.00       25.1189     11.6     3.956     5.30     -5.54      2000
   07-08      50119.00       19.9526     11.6     3.956     5.30     -5.39      2000
   07-09      50119.00       15.8489     11.6     3.956     5.30     -5.24      2000
   07-10      50119.00       12.5893     11.6     3.956     5.30     -5.09      2000
   07-11      50119.00       10.0000     11.6     3.956     5.30     -4.94      2000
   07-12      50119.00        7.9433     11.6     3.956     5.30     -4.79      2000
   07-13      50119.00        6.3096     11.6     3.956     5.30     -4.64      2000
   07-14      50119.00        5.0119     11.6     3.956     5.30     -4.49      2000
   07-15      50119.00        3.9811     11.6     3.956     5.30     -4.34      2000
   08-06      56234.00       31.6228     11.6     4.156     5.30     -5.84      2000
   08-07      56234.00       25.1189     11.6     4.156     5.30     -5.69      2000
   08-08      56234.00       19.9526     11.6     4.156     5.30     -5.54      2000
   08-09      56234.00       15.8489     11.6     4.156     5.30     -5.39      2000
   08-10      56234.00       12.5893     11.6     4.156     5.30     -5.24      2000
   08-11      56234.00       10.0000     11.6     4.156     5.30     -5.09      2000
   08-12      56234.00        7.9433     11.6     4.156     5.30     -4.94      2000
   08-13      56234.00        6.3096     11.6     4.156     5.30     -4.79      2000
   08-14      56234.00        5.0119     11.6     4.156     5.30     -4.64      2000
   08-15      56234.00        3.9811     11.6     4.156     5.30     -4.49      2000
   08-16      56234.00        3.1623     11.6     4.156     5.30     -4.34      2000
   09-06      63096.00       31.6228     11.6     4.356     5.30     -5.99      2000
   09-07      63096.00       25.1189     11.6     4.356     5.30     -5.84      2000
   09-08      63096.00       19.9526     11.6     4.356     5.30     -5.69      2000
   09-09      63096.00       15.8489     11.6     4.356     5.30     -5.54      2000
   09-10      63096.00       12.5893     11.6     4.356     5.30     -5.39      2000
   09-11      63096.00       10.0000     11.6     4.356     5.30     -5.24      2000
   09-12      63096.00        7.9433     11.6     4.356     5.30     -5.09      2000
   09-13      63096.00        6.3096     11.6     4.356     5.30     -4.94      2000
   09-14      63096.00        5.0119     11.6     4.356     5.30     -4.79      2000
   09-15      63096.00        3.9811     11.6     4.356     5.30     -4.64      2000
   09-16      63096.00        3.1623     11.6     4.356     5.30     -4.49      2000
   09-17      63096.00        2.5119     11.6     4.356     5.30     -4.34      2000
   09-18      63096.00        1.9953     11.6     4.356     5.30     -4.19      2000
   10-06      70795.00       31.6228     11.6     4.556     5.30     -6.14      2000
   10-07      70795.00       25.1189     11.6     4.556     5.30     -5.99      2000
   10-08      70795.00       19.9526     11.6     4.556     5.30     -5.84      2000
   10-09      70795.00       15.8489     11.6     4.556     5.30     -5.69      2000
   10-10      70795.00       12.5893     11.6     4.556     5.30     -5.54      2000
   10-11      70795.00       10.0000     11.6     4.556     5.30     -5.39      2000
   10-12      70795.00        7.9433     11.6     4.556     5.30     -5.24      2000
   10-13      70795.00        6.3096     11.6     4.556     5.30     -5.09      2000
   10-14      70795.00        5.0119     11.6     4.556     5.30     -4.94      2000
   10-15      70795.00        3.9811     11.6     4.556     5.30     -4.79      2000
   10-16      70795.00        3.1623     11.6     4.556     5.30     -4.64      2000
   10-17      70795.00        2.5119     11.6     4.556     5.30     -4.49      2000
   10-18      70795.00        1.9953     11.6     4.556     5.30     -4.34      2000
   10-19      70795.00        1.5849     11.6     4.556     5.30     -4.19      2000
   10-20      70795.00        1.2589     11.6     4.556     5.30     -4.04      2000
   11-06      79433.00       31.6228     11.6     4.756     5.30     -6.29      2000
   11-07      79433.00       25.1189     11.6     4.756     5.30     -6.14      2000
   11-08      79433.00       19.9526     11.6     4.756     5.30     -5.99      2000
   11-09      79433.00       15.8489     11.6     4.756     5.30     -5.84      2000
   11-10      79433.00       12.5893     11.6     4.756     5.30     -5.69      2000
   11-11      79433.00       10.0000     11.6     4.756     5.30     -5.54      2000
   11-12      79433.00        7.9433     11.6     4.756     5.30     -5.39      2000
   11-13      79433.00        6.3096     11.6     4.756     5.30     -5.24      2000
   11-14      79433.00        5.0119     11.6     4.756     5.30     -5.09      2000
   11-15      79433.00        3.9811     11.6     4.756     5.30     -4.94      2000
   11-16      79433.00        3.1623     11.6     4.756     5.30     -4.79      2000
   11-17      79433.00        2.5119     11.6     4.756     5.30     -4.64      2000
   11-18      79433.00        1.9953     11.6     4.756     5.30     -4.49      2000
   11-19      79433.00        1.5849     11.6     4.756     5.30     -4.34      2000
   11-20      79433.00        1.2589     11.6     4.756     5.30     -4.19      2000
   12-05      89125.00       39.8107     11.6     4.956     5.30     -6.59      2000
   12-06      89125.00       31.6228     11.6     4.956     5.30     -6.44      2000
   12-07      89125.00       25.1189     11.6     4.956     5.30     -6.29      2000
   12-08      89125.00       19.9526     11.6     4.956     5.30     -6.14      2000
   12-09      89125.00       15.8489     11.6     4.956     5.30     -5.99      2000
   12-10      89125.00       12.5893     11.6     4.956     5.30     -5.84      2000
   12-11      89125.00       10.0000     11.6     4.956     5.30     -5.69      2000
   12-12      89125.00        7.9433     11.6     4.956     5.30     -5.54      2000
   12-13      89125.00        6.3096     11.6     4.956     5.30     -5.39      2000
   12-14      89125.00        5.0119     11.6     4.956     5.30     -5.24      2000
   12-15      89125.00        3.9811     11.6     4.956     5.30     -5.09      2000
   12-16      89125.00        3.1623     11.6     4.956     5.30     -4.94      2000
   12-17      89125.00        2.5119     11.6     4.956     5.30     -4.79      2000
   12-18      89125.00        1.9953     11.6     4.956     5.30     -4.64      2000
